Cruise,Station,lon,lat,z,pres,temp,sal,theta,sigma,o2
SR04_06AQANTIX_2,95,342.7367,-69.0767,2888.267,2937.9997271896873,-0.2339,34.6595,-0.40676063508631793,27.851801519892206,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2892.173,2942.0001376020227,-0.2339,34.660099,-0.4070953106045606,27.85230181757356,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2896.078,2945.999596061239,-0.2339,34.6595,-0.40742409223353415,27.851832966039638,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2899.984,2950.0001509411018,-0.2339,34.660099,-0.4077592757648815,27.85233328602976,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2903.889,2953.999753821969,-0.2349,34.659302,-0.40906525754697576,27.851750595607427,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2907.795,2958.0004531515738,-0.2349,34.657398,-0.4093881996501009,27.85022604153437,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2911.7,2962.000200436312,-0.2349,34.658001,-0.4097240406542552,27.8507296198286,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2915.605,2966.000019907076,-0.2359,34.658501,-0.41103724701378935,27.85119617194391,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2919.51,2969.9999115594233,-0.2369,34.658901,-0.4123501464034435,27.85158181462657,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2923.415,2973.999875388909,-0.2369,34.659599,-0.4126871902043517,27.852162275630008,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2927.32,2977.9999113910903,-0.2369,34.658901,-0.4130173538908035,27.851613385933433,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2931.225,2982.0000195615244,-0.2379,34.6581,-0.41432475810757996,27.851027414882083,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2935.13,2986.0001998957664,-0.2379,34.658798,-0.41466253293133015,27.85160790476334,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2939.035,2990.000452389373,-0.2389,34.659199,-0.4159765156089344,27.851994347950495,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2942.939,2993.999752617744,-0.2399,34.658401,-0.4172844532307487,27.851410768733103,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2946.844,2998.000149398276,-0.2399,34.659,-0.41762242979796593,27.851911193027945,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2950.748,3001.9995938677393,-0.2399,34.658401,-0.4179544067820528,27.851442423414028,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2954.653,3006.000134917426,-0.2409,34.658901,-0.4192697471098054,27.851908942735236,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2958.557,3009.9997236102176,-0.2409,34.658199,-0.41960165668391125,27.851356854957203,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2962.462,3014.000408911291,-0.2419,34.658699,-0.42091742153631795,27.851823366296912,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2966.366,3018.0001418096476,-0.2419,34.6581,-0.4212503264909915,27.85135461875757,NA
